id_candidato,id_vacante_sistema,id_rechazo,1,2,3,4,5
1433,2439,1,20180220,20180221,,,20180221
1382,2439,2,20180409,20180410,,,20180410
1070,2440,0,20180101,20180101,,20180115,
1087,2441,0,20180115,20180116,20180119,20180123,
1091,2441,0,20180115,20180115,20180119,20180123,
1466,2443,16,20180129,20180131,,,20180130
1400,2443,1,20180221,20180221,,,20180222
1370,2443,9,20180221,20180221,,,20180222
1480,2443,16,20180313,20180314,,,20180314
1479,2443,16,20180321,20180321,,,20180322
1598,2443,16,20180321,20180322,,,20180322
1253,2443,0,20180403,20180403,20180406,20180410,
1562,2444,1,20180404,20180406,,,20180405
1576,2444,5,20180410,20180411,20180420,20180423,
1302,2445,0,20180424,20180424,20180426,20180430,
1301,2445,0,20180424,20180425,20180426,20180430,
1060,2447,0,20180101,20180101,,20180112,
1061,2447,0,20180101,20180101,20180109,20180112,
1256,2449,0,20180404,20180404,20180406,20180410,
1538,2450,1,20180502,20180504,,,20180503
1360,2451,1,20180306,20180306,,,20180307
1356,2451,1,20180307,20180307,,,20180308
1337,2451,2,20180312,20180312,,,20180313
1229,2452,0,20180314,20180314,20180320,20180326,
1504,2452,2,20180314,20180315,,,20180315
1235,2452,0,20180322,20180323,20180323,20180329,
1398,2454,10,20180423,20180424,,,20180424
1088,2455,0,20180112,20180113,20180119,20180123,
1544,2455,1,20180503,20180503,,,20180504
1083,2456,0,20180115,20180115,20180116,20180122,
1094,2456,0,20180115,20180117,20180123,20180126,
1519,2456,1,20180115,20180115,,,20180116
1525,2456,1,20180117,20180119,,,20180118
1097,2456,0,20180122,20180122,20180124,20180126,
1109,2459,0,20180123,20180123,20180126,20180130,
1123,2459,0,20180123,20180123,20180129,20180202,
1160,2461,0,20180219,20180219,20180222,20180226,
1224,2462,0,20180313,20180314,20180315,20180320,
1474,2462,2,20180313,20180313,,,20180314
1582,2462,1,20180410,20180411,,,20180411
1306,2462,16,20180411,20180411,,,20180412
1587,2462,2,20180416,20180416,,,20180417
1287,2462,0,20180419,20180419,20180420,20180424,
1399,2464,16,20180420,20180421,,,20180421
1304,2464,0,20180423,20180424,20180426,20180430,
1588,2465,0,20180424,20180424,20180427,20180503,
1589,2466,0,20180502,20180503,,,
1047,2467,0,20180101,20180101,20180103,20180105,
1134,2468,0,20180206,20180206,20180208,20180212,
1432,2469,5,20180411,20180411,,,20180412
1281,2469,0,20180412,20180413,20180420,20180423,
1493,2470,16,20180221,20180223,,,20180222
1430,2470,1,20180319,20180320,,,20180320
1244,2470,0,20180326,20180326,20180328,20180404,
